Biomarker_ID,Biomarker_Name,Disease_Area,Researcher_Name,Country,Validation_Status,Priority_Level,Risk_Level,Sample_Type,Sample_Count,Accuracy_Percentage,Study_Year
BM0001,CRP,Oncology,Dr. Ananya Iyer,Germany,Pending,High,Low,Blood,1166,63.47,2021
BM0002,PSA,Oncology,Dr. Arjun Mehta,Germany,Pending,Low,Low,Blood,1199,67.93,2023
BM0003,eGFR,Hematology,Dr. Vikram Nair,France,In Review,High,High,CSF,915,73.58,2019
BM0004,TNF-Alpha,Infectious Disease,Dr. Arjun Mehta,USA,Rejected,High,Medium,Tissue,591,92.2,2023
BM0005,PCT,Cardiology,Dr. Meena Pillai,USA,In Review,Low,Low,Tissue,443,88.11,2018
BM0006,VEGF,Endocrinology,Dr. Arjun Mehta,Germany,Validated,Medium,Medium,Plasma,797,66.49,2020
BM0007,TNF-Alpha,Endocrinology,Dr. Arjun Mehta,UK,Pending,High,Medium,Plasma,602,99.48,2023
BM0008,eGFR,Immunology,Dr. Rohit Gupta,India,Pending,High,Medium,Plasma,598,62.64,2022
BM0009,Beta-HCG,Immunology,Dr. Karan Singh,Australia,Rejected,High,Medium,Urine,555,89.73,2022
BM0010,CEA,Hematology,Dr. Sanjay Patel,Australia,In Review,High,High,Serum,1060,63.63,2018
BM0011,CRP,Neurology,Dr. Sunita Rao,Australia,Validated,Medium,Medium,Serum,1008,81.11,2022
BM0012,CA-125,Cardiology,Dr. Divya Reddy,Japan,In Review,High,Medium,Plasma,373,78.1,2023
BM0013,CEA,Neurology,Dr. Divya Reddy,USA,In Review,Low,Low,Serum,457,66.1,2024
BM0014,IL-6,Oncology,Dr. Sanjay Patel,Canada,Rejected,High,High,Tissue,679,69.55,2019
BM0015,LDH,Cardiology,Dr. Arjun Mehta,France,Validated,Low,High,Urine,1023,97.78,2019
BM0016,CEA,Hematology,Dr. Vikram Nair,Germany,In Review,Medium,Low,CSF,814,77.48,2022
BM0017,PCT,Cardiology,Dr. Vikram Nair,Germany,Validated,Medium,High,Serum,1184,69.18,2019
BM0018,CA-125,Cardiology,Dr. Priya Sharma,Germany,Validated,High,Medium,Blood,1102,69.5,2023
BM0019,Albumin,Immunology,Dr. Divya Reddy,UK,Rejected,High,Medium,Plasma,439,63.76,2023
BM0020,Ferritin,Infectious Disease,Dr. Meena Pillai,Australia,Rejected,Low,High,CSF,251,62.42,2023
BM0021,Beta-HCG,Cardiology,Dr. Vikram Nair,Germany,Pending,Low,Medium,Urine,914,67.32,2021
BM0022,VEGF,Cardiology,Dr. Karan Singh,USA,Validated,Low,Low,Blood,241,96.96,2024
BM0023,VEGF,Neurology,Dr. Meena Pillai,France,Rejected,High,Medium,Blood,387,75.12,2021
BM0024,CEA,Rheumatology,Dr. Ananya Iyer,Australia,Rejected,High,High,Tissue,495,98.65,2022
BM0025,eGFR,Oncology,Dr. Rohit Gupta,India,Validated,Low,Medium,Serum,1137,66.28,2022
BM0026,HbA1c,Neurology,Dr. Arjun Mehta,USA,Pending,Medium,High,Serum,554,83.1,2018
BM0027,NSE,Cardiology,Dr. Meena Pillai,Canada,In Review,High,Low,CSF,693,69.52,2021
